region,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Ставропольский край,11835,12326,12216,12405,12091,12867,10990,12464,12513,11833,12120,11564,11942,12086,12283,12387,12872,12996,13092,12929
Приволжский федеральный округ,142853,142102,143389,142997,140749,141607,141121,143413,137585,138149,138660,133662,133031,136263,136060,136808,138297,137461,136168,138503
Республика Башкортостан,17071,16961,17296,17456,16899,17411,17198,17518,16903,17043,17383,16382,16657,17098,17358,17531,17985,17849,17811,18032
Республика Марий Эл,2524,2431,2438,2487,2391,2404,2327,2399,2397,2412,2395,2384,2437,2483,2461,2459,2457,2484,2468,2475
Республика Мордовия,4451,4443,4386,4315,4307,4258,4313,4278,4303,4348,4364,4340,4330,4290,4258,4222,4251,4315,4202,4177
Республика Татарстан,16906,16902,17024,16857,16228,16611,16725,16823,16029,15903,16228,15705,15631,16153,16466,16718,17261,17241,17456,18118
Удмуртская Республика,8763,8795,8964,8854,8929,8938,8898,8831,8337,8176,8149,8394,7505,7715,7431,7452,7649,7768,7554,7742
Чувашская Республика,6081,6083,6185,6144,6117,5936,5948,6099,6050,6094,6022,6100,6090,6115,6042,6025,6110,6184,6270,6377
Пермский край,15003,14982,14669,14767,14430,14720,14285,14357,13164,13159,13413,12970,12975,13424,13323,13140,13005,12584,12414,12386
Кировская область,6736,6574,6518,6522,6523,6454,6540,6517,6150,6093,6025,5766,5829,6094,5985,6121,6211,6118,6130,6128
Нижегородская область,15393,15186,15897,15853,15665,15758,15734,16558,15267,16203,16075,15449,15397,15134,15312,15464,15386,15510,15257,15408
Оренбургская область,10675,10503,10438,10433,10460,10340,10607,10571,10428,9759,9947,9355,9288,9305,9162,9076,9035,8830,8716,8674
Пензенская область,5470,5257,5404,5407,5335,5340,5432,5566,5379,5353,5464,5246,5278,5589,5551,5562,5808,5877,5980,5850
Самарская область,15678,15555,15856,15749,15379,15592,15342,15877,15211,15326,14873,14562,14714,15309,15199,15507,15589,15418,15139,15856
Саратовская область,13266,13668,13507,13367,13342,13121,13106,13304,13205,13356,13266,12099,11894,12402,12332,12307,12316,12188,11815,12102
Ульяновская область,4836,4762,4807,4786,4744,4724,4666,4715,4762,4924,5056,4910,5006,5152,5180,5224,5234,5095,4956,5178
Уральский федеральный округ,51124,51499,52464,53400,53278,53333,55638,56140,53556,54782,54825,53056,54014,55575,56280,56918,58024,58240,59107,59700
Курганская область,2711,2664,2682,2658,2717,2745,2700,2707,2680,2647,2625,2482,2506,2522,2481,2422,2367,2306,2352,2385
Свердловская область,18395,18451,18716,19255,19249,18655,19637,19552,18426,19209,18957,18374,18556,18178,18658,18832,19464,19078,19325,19158
Тюменская область,15697,16124,16618,17054,17074,17612,18369,18599,17895,18348,18377,18416,18826,20035,20533,21006,21586,22281,23046,23503
Ханты-Мансийский автономный округ-Югра,6992,7220,7545,7851,8098,8361,8490,8531,8559,8458,8585,8690,8762,9286,9401,9588,9706,9984,10113,10244
Ямало-Ненецкий автономный округ,2552,2741,2637,2638,2604,2709,2688,2614,2604,2648,2551,2687,2709,2956,2982,3089,3336,3430,3518,3604
Челябинская область,14321,14260,14448,14433,14238,14321,14932,15282,14555,14578,14866,13784,14126,14840,14608,14658,14607,14575,14384,14654
Сибирский федеральный округ,88238,89788,89135,90107,89817,90518,90023,91880,87958,87085,86676,81091,81723,83827,83998,83606,83598,83437,82343,83981
Республика Алтай,775,785,816,839,856,898,898,889,902,972,1000,962,979,1036,1002,986,1008,967,978,964
Республика Тыва,1315,1297,1328,1325,1373,1409,1404,1424,1459,1490,1471,1544,1598,1701,1669,1628,1671,1670,1736,1730
Республика Хакасия,2017,2018,2081,2078,2095,2058,2028,2018,2058,2124,2145,2091,2229,2317,2255,2258,2131,2178,2130,2116
Алтайский край,11345,11694,11816,12080,11595,11711,11766,12141,11028,10919,10705,10201,10198,10173,9957,9877,9960,9746,9449,9677
Красноярский край,14316,14426,14347,14643,14669,14831,15180,15028,14120,14445,14310,13644,13735,14137,14318,14316,14465,14145,13977,14209
Иркутская область,12010,11841,11619,12202,12174,12390,12107,12346,12436,11623,11828,10980,11286,11561,11673,11724,11680,11700,11379,11529
Кемеровская область,13325,13185,13297,13430,13365,13372,13179,13301,13396,12943,12513,11661,11896,12038,11892,11652,11643,11290,11149,11144
Новосибирская область,15228,16393,15518,15110,15306,15310,15549,15705,15141,15160,15335,14247,14023,14813,15089,15270,15604,15775,15854,16428
Омская область,11118,11258,11328,11458,11489,11447,10662,11617,10835,10869,10792,10003,9866,10043,9886,9813,9749,9632,9379,9516
Томская область,6789,6891,6985,6942,6895,7092,7250,7411,6583,6540,6577,5758,5913,6008,6257,6082,5687,6334,6312,6668
Дальневосточный федеральный округ,44841,44730,45482,45299,44786,44999,45297,46771,45668,44458,43825,42496,43295,44076,43658,43999,43834,43381,42962,43279
Республика Бурятия,3711,3737,3777,3949,3859,3943,4016,4055,4160,4359,4333,4483,4564,4564,4488,4449,4408,4261,4148,4259
Республика Саха (Якутия),4702,4708,5130,5003,5179,5284,5474,5425,5343,5371,5447,5295,5396,5831,5899,5987,5920,5956,5959,6037
Забайкальский край,5835,5898,6162,6210,6333,6331,6206,6294,6386,5762,5677,5289,5468,5567,5352,5396,5512,5312,5230,5141
Камчатский край,1834,1791,1821,1796,1571,1543,1586,1722,1699,1737,1668,1694,1664,1679,1699,1655,1637,1717,1723,1821
Приморский край,10793,10726,10611,10419,10328,10416,10291,10951,10731,10073,10110,9654,9556,9627,9602,9825,9593,9472,9570,9671
Хабаровский край,8269,8322,8292,8204,7994,8069,8200,8525,8027,7762,7550,7135,7727,7636,7554,7417,7478,7322,7098,7029
Амурская область,5255,5230,5266,5301,5116,5054,5204,5389,4935,4915,4764,4461,4349,4448,4366,4335,4329,4387,4271,4269
Магаданская область,982,940,947,943,896,891,870,860,863,895,892,893,891,891,901,872,868,869,842,837
Сахалинская область,2393,2292,2388,2403,2457,2448,2440,2522,2526,2569,2402,2636,2729,2864,2843,3104,3135,3172,3207,3337
Еврейская автономная область,664,673,676,676,653,641,624,638,627,642,651,630,605,600,579,602,589,542,531,511
Чукотский автономный округ,403,413,412,395,400,379,386,390,371,373,331,326,346,369,375,357,365,371,383,367
